ticker,ticker_yf,nome,tipo,participacao_pct,data_atualizacao
CBAV3,CBAV3.SA,CBA,ON      NM,"0,087",2026-08-24
CEAB3,CEAB3.SA,CEA MODAS,ON      NM,"0,060",2026-08-24
CMIG4,CMIG4.SA,CEMIG,PN      N1,"0,728",2026-08-24
COGN3,COGN3.SA,COGNA ON,ON      NM,"0,154",2026-08-24
CSMG3,CSMG3.SA,COPASA,ON      NM,"0,746",2026-08-24
CPLE3,CPLE3.SA,COPEL,ON      NM,"1,599",2026-08-24
CSAN3,CSAN3.SA,COSAN,ON      NM,"0,310",2026-08-24
CPFE3,CPFE3.SA,CPFL ENERGIA,ON      NM,"0,302",2026-08-24
CMIN3,CMIN3.SA,CSNMINERACAO,ON      N2,"0,370",2026-08-24
CURY3,CURY3.SA,CURY S/A,ON  ED  NM,"0,183",2026-08-24
CVCB3,CVCB3.SA,CVC BRASIL,ON  ATZ NM,"0,024",2026-08-24
CYRE3,CYRE3.SA,CYRELA REALT,ON      NM,"0,248",2026-08-24
DASA3,DASA3.SA,DASA,ON      NM,"0,017",2026-08-24
DESK3,DESK3.SA,DESKTOP,ON      NM,"0,025",2026-08-24
DXCO3,DXCO3.SA,DEXCO,ON      NM,"0,064",2026-08-24
PNVL3,PNVL3.SA,DIMED,ON      NM,"0,036",2026-08-24
DIRR3,DIRR3.SA,DIRECIONAL,ON      NM,"0,131",2026-08-24
ECOR3,ECOR3.SA,ECORODOVIAS,ON      NM,"0,084",2026-08-24
EMBJ3,EMBJ3.SA,EMBRAER,ON      NM,"2,635",2026-08-24
ENGI11,ENGI11.SA,ENERGISA,UNT     N2,"0,554",2026-08-24
ENEV3,ENEV3.SA,ENEVA,ON      NM,"1,847",2026-08-24
EGIE3,EGIE3.SA,ENGIE BRASIL,ON  ED  NM,"0,466",2026-08-24
EQTL3,EQTL3.SA,EQUATORIAL,ON      NM,"1,698",2026-08-24
EVEN3,EVEN3.SA,EVEN,ON      NM,"0,030",2026-08-24
EZTC3,EZTC3.SA,EZTEC,ON  ED  NM,"0,052",2026-08-24
FESA4,FESA4.SA,FERBASA,PN      N1,"0,028",2026-08-24
FLRY3,FLRY3.SA,FLEURY,ON      NM,"0,318",2026-08-24
FRAS3,FRAS3.SA,FRAS-LE,ON      N1,"0,095",2026-08-24
GFSA3,GFSA3.SA,GAFISA,ON      NM,"0,002",2026-08-24
GGBR4,GGBR4.SA,GERDAU,PN  ED  N1,"1,061",2026-08-24
GOAU4,GOAU4.SA,GERDAU MET,PN  ED  N1,"0,311",2026-08-24
GGPS3,GGPS3.SA,GPS,ON      NM,"0,145",2026-08-24
GRND3,GRND3.SA,GRENDENE,ON  EDJ NM,"0,032",2026-08-24
GMAT3,GMAT3.SA,GRUPO MATEUS,ON      NM,"0,072",2026-08-24
SBFG3,SBFG3.SA,GRUPO SBF,ON      NM,"0,040",2026-08-24
HAPV3,HAPV3.SA,HAPVIDA,ON      NM,"0,068",2026-08-24
HBOR3,HBOR3.SA,HELBOR,ON      NM,"0,005",2026-08-24
HBSA3,HBSA3.SA,HIDROVIAS,ON      NM,"0,072",2026-08-24
HYPE3,HYPE3.SA,HYPERA,ON      NM,"0,259",2026-08-24
IGTI11,IGTI11.SA,IGUATEMI S.A,UNT     N1,"0,184",2026-08-24
INTB3,INTB3.SA,INTELBRAS,ON      NM,"0,061",2026-08-24
MYPK3,MYPK3.SA,IOCHP-MAXION,ON      NM,"0,048",2026-08-24
RANI3,RANI3.SA,IRANI,ON      NM,"0,030",2026-08-24
IRBR3,IRBR3.SA,IRBBRASIL RE,ON      NM,"0,155",2026-08-24
ISAE4,ISAE4.SA,ISA ENERGIA,PN      N1,"0,456",2026-08-24
ITSA4,ITSA4.SA,ITAUSA,PN      N1,"2,840",2026-08-24
ITUB3,ITUB3.SA,ITAUUNIBANCO,ON      N1,"0,718",2026-08-24
ITUB4,ITUB4.SA,ITAUUNIBANCO,PN      N1,"7,859",2026-08-24
JHSF3,JHSF3.SA,JHSF PART,ON      NM,"0,101",2026-08-24
JSLG3,JSLG3.SA,JSL,ON      NM,"0,017",2026-08-24
KEPL3,KEPL3.SA,KEPLER WEBER,ON      NM,"0,040",2026-08-24
KLBN11,KLBN11.SA,KLABIN S/A,UNT     N2,"0,566",2026-08-24
LAVV3,LAVV3.SA,LAVVI,ON      NM,"0,028",2026-08-24
RENT3,RENT3.SA,LOCALIZA,ON      NM,"1,263",2026-08-24
LOGG3,LOGG3.SA,LOG COM PROP,ON  ED  NM,"0,045",2026-08-24
LREN3,LREN3.SA,LOJAS RENNER,ON      NM,"0,411",2026-08-24
LWSA3,LWSA3.SA,LWSA,ON  ED  NM,"0,058",2026-08-24
MDIA3,MDIA3.SA,M.DIASBRANCO,ON  ED  NM,"0,043",2026-08-24
MGLU3,MGLU3.SA,MAGAZ LUIZA,ON      NM,"0,059",2026-08-24
POMO3,POMO3.SA,MARCOPOLO,ON      N2,"0,032",2026-08-24
POMO4,POMO4.SA,MARCOPOLO,PN      N2,"0,124",2026-08-24
MBRF3,MBRF3.SA,MARFRIG,ON      NM,"0,566",2026-08-24
CASH3,CASH3.SA,MELIUZ,ON      NM,"0,020",2026-08-24
LEVE3,LEVE3.SA,METAL LEVE,ON      NM,"0,065",2026-08-24
MILS3,MILS3.SA,MILLS,ON      NM,"0,065",2026-08-24
BEEF3,BEEF3.SA,MINERVA,ON  ATZ NM,"0,069",2026-08-24
MOTV3,MOTV3.SA,MOTIVA SA,ON      NM,"0,553",2026-08-24
MDNE3,MDNE3.SA,MOURA DUBEUX,ON      NM,"0,055",2026-08-24
MOVI3,MOVI3.SA,MOVIDA,ON      NM,"0,045",2026-08-24
MRVE3,MRVE3.SA,MRV,ON      NM,"0,073",2026-08-24
MULT3,MULT3.SA,MULTIPLAN,ON      N2,"0,327",2026-08-24
NATU3,NATU3.SA,NATURA,ON      NM,"0,263",2026-08-24
ORVR3,ORVR3.SA,ORIZON,ON      NM,"0,132",2026-08-24
PGMN3,PGMN3.SA,PAGUE MENOS,ON      NM,"0,039",2026-08-24
PETR3,PETR3.SA,PETROBRAS,ON  EDJ N2,"6,373",2026-08-24
PETR4,PETR4.SA,PETROBRAS,PN  EDJ N2,"7,236",2026-08-24
RECV3,RECV3.SA,PETRORECSA,ON  EJ  NM,"0,110",2026-08-24
AUAU3,AUAU3.SA,PETZCOBASI,ON      NM,"0,025",2026-08-24
PINE4,PINE4.SA,PINE,PN      N2,"0,028",2026-08-24
PLPL3,PLPL3.SA,PLANOEPLANO,ON      NM,"0,014",2026-08-24
PSSA3,PSSA3.SA,PORTO SEGURO,ON      NM,"0,317",2026-08-24
POSI3,POSI3.SA,POSITIVO TEC,ON      NM,"0,009",2026-08-24
PRNR3,PRNR3.SA,PRINER,ON      NM,"0,036",2026-08-24
PRIO3,PRIO3.SA,PRIO,ON      NM,"1,811",2026-08-24
QUAL3,QUAL3.SA,QUALICORP,ON      NM,"0,017",2026-08-24
LJQQ3,LJQQ3.SA,QUERO-QUERO,ON      NM,"0,008",2026-08-24
RADL3,RADL3.SA,RAIADROGASIL,ON      NM,"0,922",2026-08-24
RAPT4,RAPT4.SA,RANDON PART,PN      N1,"0,031",2026-08-24
RCSL4,RCSL4.SA,RECRUSUL,PN,"0,002",2026-08-24
RDOR3,RDOR3.SA,REDE D OR,ON      NM,"1,423",2026-08-24
RIAA3,RIAA3.SA,RIACHUELO,ON      NM,"0,022",2026-08-24
RAIL3,RAIL3.SA,RUMO S.A.,ON      NM,"0,662",2026-08-24
SBSP3,SBSP3.SA,SABESP,ON      NM,"3,170",2026-08-24
SAPR11,SAPR11.SA,SANEPAR,UNT     N2,"0,254",2026-08-24
SANB11,SANB11.SA,SANTANDER BR,UNT,"0,405",2026-08-24
SMTO3,SMTO3.SA,SAO MARTINHO,ON      NM,"0,087",2026-08-24
SEER3,SEER3.SA,SER EDUCA,ON      NM,"0,021",2026-08-24
CSNA3,CSNA3.SA,SID NACIONAL,ON,"0,133",2026-08-24
SIMH3,SIMH3.SA,SIMPAR,ON      NM,"0,032",2026-08-24
SLCE3,SLCE3.SA,SLC AGRICOLA,ON      NM,"0,133",2026-08-24
SMFT3,SMFT3.SA,SMART FIT,ON      NM,"0,366",2026-08-24
SUZB3,SUZB3.SA,SUZANO S.A.,ON      NM,"1,049",2026-08-24
SYNE3,SYNE3.SA,SYN PROP TEC,ON      NM,"0,008",2026-08-24
TAEE11,TAEE11.SA,TAESA,UNT EDJ N2,"0,313",2026-08-24
TGMA3,TGMA3.SA,TEGMA,ON      NM,"0,042",2026-08-24
VIVT3,VIVT3.SA,TELEF BRASIL,ON,"0,789",2026-08-24
TEND3,TEND3.SA,TENDA,ON  ED  NM,"0,136",2026-08-24
TIMS3,TIMS3.SA,TIM,ON      NM,"0,545",2026-08-24
TOTS3,TOTS3.SA,TOTVS,ON      NM,"0,654",2026-08-24
TFCO4,TFCO4.SA,TRACK FIELD,PN      N2,"0,024",2026-08-24
TUPY3,TUPY3.SA,TUPY,ON      NM,"0,074",2026-08-24
UGPA3,UGPA3.SA,ULTRAPAR,ON      NM,"1,405",2026-08-24
UNIP6,UNIP6.SA,UNIPAR,PNB,"0,111",2026-08-24
USIM5,USIM5.SA,USIMINAS,PNA     N1,"0,129",2026-08-24
VALE3,VALE3.SA,VALE,ON      NM,"12,188",2026-08-24
VLID3,VLID3.SA,VALID,ON  ED  NM,"0,050",2026-08-24
VAMO3,VAMO3.SA,VAMOS,ON      NM,"0,047",2026-08-24
VBBR3,VBBR3.SA,VIBRA,ON      NM,"1,570",2026-08-24
VTRU3,VTRU3.SA,VITRUEDUCA,ON      NM,"0,072",2026-08-24
VIVA3,VIVA3.SA,VIVARA S.A.,ON      NM,"0,101",2026-08-24
VULC3,VULC3.SA,VULCABRAS,ON      NM,"0,058",2026-08-24
WEGE3,WEGE3.SA,WEG,ON  ATZ NM,"2,786",2026-08-24
YDUQ3,YDUQ3.SA,YDUQS PART,ON      NM,"0,078",2026-08-24
